hashtags,is_reply_to,likes,retweets,screen_name,text,timestamp,tweet_url,username,neg,neu,pos,compound
[],True,10607,1274,taylorswift13,Oh I love this so much ,2020-05-03 21:41:43,/taylorswift13/status/1257062808946180103,Taylor Swift,0.0,0.543,0.457,0.6369
[],False,521046,60773,taylorswift13,Not a lot going on at the momentpic.twitter.com/NaRCqgCH4Y,2020-04-27 21:08:40,/taylorswift13/status/1254880164447760385,Taylor Swift,0.0,1.0,0.0,0.0
[],False,274971,32560,taylorswift13,Captain Olivia Benson off duty like -pic.twitter.com/JJ5ff8syMU,2020-04-23 00:47:53,/taylorswift13/status/1253123395010658306,Taylor Swift,0.0,0.706,0.294,0.3612
[],True,20031,2386,taylorswift13,heavenly,2020-04-18 18:26:33,/taylorswift13/status/1251577874584403969,Taylor Swift,0.0,0.0,1.0,0.6124
[],False,207788,29949,taylorswift13,"I'm so sad I won't be able to see you guys in concert this year, but I know this is the right decision. Please, please stay healthy and safe. I’ll see you on stage as soon as I can but right now what’s important is committing to this quarantine, for the sake of all of us.pic.twitter.com/qeiMk2Tgon",2020-04-17 17:00:09,/taylorswift13/status/1251193743912456192,Taylor Swift,0.032,0.719,0.249,0.9294
[],True,11936,1494,taylorswift13,Love this so much ,2020-04-14 18:17:17,/taylorswift13/status/1250125991437107200,Taylor Swift,0.0,0.417,0.583,0.6369
['nationalsiblingsdaypic'],False,141915,15001,taylorswift13,"It’s National Siblings Day! My brother @austinswift7 is one of my best pals, and I’m really proud of him because he’s in a film that came out today called We Summon The Darkness (which he co-produced). Photo by Gigi. My facial expression by 3 glasses of wine. #nationalsiblingsdaypic.twitter.com/1SXUtIxaiP",2020-04-10 18:18:54,/taylorswift13/status/1248676845958107139,Taylor Swift,0.036,0.82,0.144,0.7836
[],False,78289,12218,taylorswift13,"My Women’s History Month playlist is nostalgic comfort vibes by women I adore  @Spotify
https://taylorswift.lnk.to/SpotifyWHM pic.twitter.com/I5jQCZy8G1",2020-03-27 13:15:38,/taylorswift13/status/1243527098154848258,Taylor Swift,0.0,0.697,0.303,0.7269
['QuarantineCatspic'],False,219609,37104,taylorswift13,"For Meredith, self quarantining is a way of life. Be like Meredith. #QuarantineCatspic.twitter.com/yEHJ5c5oFi",2020-03-16 21:50:13,/taylorswift13/status/1239670332958674944,Taylor Swift,0.0,0.828,0.172,0.3612
[],False,92713,13391,taylorswift13,"In honor of International Women’s Day, I changed out my @AppleMusic playlist to songs I’m loving right now by female artists and bands.  Let’s all celebrate together by honoring the women in our lives and the women out there pushing things forward https://apple.co/PlaylistByME ",2020-03-07 17:15:15,/taylorswift13/status/1236339640656973825,Taylor Swift,0.0,0.734,0.266,0.9337
[],False,155829,14852,taylorswift13,My heart is with everyone in Tennessee who has been affected by the tornados. Sending you my love and prayers.,2020-03-03 20:24:24,/taylorswift13/status/1234937694121287684,Taylor Swift,0.067,0.756,0.176,0.5574
[],False,67776,8198,taylorswift13,"More thank you’s... Chancler Haynes is an editing extraordinaire. Stephen Galloway and Spenser Theberge were my movement coaches and taught me how to smoke, slouch, walk and act like a toxic bro. David Lebensfeld and Grant Miller aced that VFX magic.pic.twitter.com/I8rf5D3xwE",2020-02-28 02:12:26,/taylorswift13/status/1233213339607719936,Taylor Swift,0.0,0.83,0.17,0.7778
[],False,84732,9118,taylorswift13,"I want to say a massive thank you to my main team in putting this whole thing together: Jil Hardin, our producer, worked tirelessly and truly made me feel like I could do this. Joe ‘Oz’ Osborne, our excellent AD, and I have worked together for years and he’s the coolest.pic.twitter.com/c7hLxu4Keq",2020-02-28 00:11:18,/taylorswift13/status/1233182852092694533,Taylor Swift,0.0,0.781,0.219,0.8979
[],False,63487,7898,taylorswift13,"Alongside every great (the) man is a team of hardworking creatives who made this thing happen. Bill Corso & his incredible team and I have worked together before, turning me into a zombie.. but convincing a significant amount of people I was a dude is our crowning achievement.pic.twitter.com/Rn7FmIDz55",2020-02-27 23:02:01,/taylorswift13/status/1233165416643616768,Taylor Swift,0.0,0.844,0.156,0.8074
[],True,5004,700,taylorswift13,"Dominic your reactions were SO good, when you were all ‘you got this!!’ And jayden’s all ‘’. I cackle every time I see it. Thanks so much for spending the day with me!",2020-02-27 14:50:34,/taylorswift13/status/1233041739130294273,Taylor Swift,0.0,0.786,0.214,0.8567
[],True,22171,2373,taylorswift13,This post  I appreciate you saying this so much. I had the best time hanging out & talking on the tennis court with you! Pennsylvania girls represent  Gonna be cheering you on for everything you do!,2020-02-27 14:48:34,/taylorswift13/status/1233041235557961730,Taylor Swift,0.0,0.754,0.246,0.8953
[],True,7576,851,taylorswift13,Every time I see you in the video I just GRIN because you were so good and so awesome to be around. Thank you SO much for being a part of it!!!,2020-02-27 14:46:32,/taylorswift13/status/1233040727527088130,Taylor Swift,0.0,0.646,0.354,0.9464
[],False,118597,19667,taylorswift13,Just sitting here pondering how happy I am that The Man music video is OUT. I want to say thank you to so many people- Gotta thank @TheRock for voicing The Man and for being so supportive of my music for years (and now my directorial debut!)-pic.twitter.com/6G9G21Lw8J,2020-02-27 14:22:18,/taylorswift13/status/1233034629461860353,Taylor Swift,0.0,0.761,0.239,0.9034
['TheManMusicVideo'],False,121347,29348,taylorswift13,Man down. After a massive mantrum.  #TheManMusicVideo is out now! Https://Taylor.lnk.to/TheMan/YouTube pic.twitter.com/mcn1CE7LMI,2020-02-27 12:07:41,/taylorswift13/status/1233000748373417984,Taylor Swift,0.0,1.0,0.0,0.0
['TheManMusicVideo'],False,67716,12960,taylorswift13,"One small step for the man, one giant leap for #TheManMusicVideo...1.5 hours to go! I’m counting down with you on the premiere page: https://taylor.lnk.to/theman/YouTube pic.twitter.com/rYrxqzNYwF",2020-02-27 10:38:56,/taylorswift13/status/1232978414350536705,Taylor Swift,0.0,1.0,0.0,0.0
[],False,165060,33747,taylorswift13,"There are 19 hands in the hallway 

... but only 2 days until The Man Music Videopic.twitter.com/pePLcEwxtQ",2020-02-25 21:15:58,/taylorswift13/status/1232413954460258314,Taylor Swift,0.0,1.0,0.0,0.0
[],False,131829,21112,taylorswift13,"The Man - Live From Paris   
Song/video tonight at Midnight ETpic.twitter.com/Mr579hZtZe",2020-02-17 15:10:57,/taylorswift13/status/1229422992482086912,Taylor Swift,0.0,1.0,0.0,0.0
[],True,7978,732,taylorswift13,"It was excellent meeting you and this is so nice of you to say.   See you at Glasto, new friend!",2020-02-13 23:32:29,/taylorswift13/status/1228099654249828352,Taylor Swift,0.0,0.611,0.389,0.8959
